"tier","base_bgg_id","base_name","expansion_id","expansion_name","is_fan","is_promo"
"A","205637","Arkham Horror: The Card Game","271056","Arkham Horror: The Card Game – Union and Disillusion: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","321101","Arkham Horror: The Card Game – War of the Outer Gods: Scenario Pack","False","False"
"A","205637","Arkham Horror: The Card Game","297471","Arkham Horror: The Card Game – Weaver of the Cosmos: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","297200","Arkham Horror: The Card Game – Where the Gods Dwell: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","305513","Arkham Horror: The Card Game – Winifred Habbamock: Investigator Starter Deck","False","False"
"A","205637","Arkham Horror: The Card Game","295594","Barkham Horror: The Card Game – The Meddling of Meowlathotep: Scenario Pack","False","False"
"S","37111","Battlestar Galactica: The Board Game","141648","Battlestar Galactica: The Board Game – Daybreak Expansion","False","False"
"S","37111","Battlestar Galactica: The Board Game","85905","Battlestar Galactica: The Board Game – Exodus Expansion","False","False"
"S","37111","Battlestar Galactica: The Board Game","43539","Battlestar Galactica: The Board Game – Pegasus Expansion","False","False"
"A","317985","Beyond the Sun","378291","Beyond the Sun: Leaders of the New Dawn","False","False"
"A","232832","Century: Golem Edition","311200","Century: Golem Edition – Bonus Cards 1","False","False"
"A","232832","Century: Golem Edition","311201","Century: Golem Edition – Bonus Cards 2","False","False"
"A","172287","Champions of Midgard","262004","Champions of Midgard: Asian Monsters","False","False"
"A","172287","Champions of Midgard","245646","Champions of Midgard: Jarl Edition","False","False"
"A","172287","Champions of Midgard","453582","Champions of Midgard: Solo Mode","False","False"
"A","172287","Champions of Midgard","219787","Champions of Midgard: The Dark Mountains","False","False"
"A","172287","Champions of Midgard","219788","Champions of Midgard: Valhalla","False","False"
"A","172287","Champions of Midgard","290345","Champions of Midgard: Valhalla – Kes Bakyr","False","False"
"A","172287","Champions of Midgard","344719","Чемпионы Мидгарда. Вальхалла и Тёмные горы","False","False"
"A","39463","Cosmic Encounter","380413","Cosmic Encounter: 8-player Combo Cards","False","False"
"A","39463","Cosmic Encounter","360372","Cosmic Encounter: Cosmic Odyssey","False","False"
