"base_bgg_id","base_name","expansion_id","expansion_name","is_fan"
"205637","Arkham Horror: The Card Game","405997","Arkham Horror: The Card Game – The Blob That Ate Everything ELSE!","False"
"205637","Arkham Horror: The Card Game","280714","Arkham Horror: The Card Game – The Blob That Ate Everything: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","249772","Arkham Horror: The Card Game – The Boundary Beyond: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","382510","Arkham Horror: The Card Game – The Circle Undone: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","382509","Arkham Horror: The Card Game – The Circle Undone: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","254122","Arkham Horror: The Card Game – The City of Archives: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","255900","Arkham Horror: The Card Game – The Depths of Yoth: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","414602","Arkham Horror: The Card Game – The Dream-Eaters: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","281541","Arkham Horror: The Card Game – The Dream-Eaters: Expansion","False"
"205637","Arkham Horror: The Card Game","414695","Arkham Horror: The Card Game – The Dream-Eaters: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","428879","Arkham Horror: The Card Game – The Drowned City: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","428880","Arkham Horror: The Card Game – The Drowned City: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","347149","Arkham Horror: The Card Game – The Dunwich Legacy: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","347148","Arkham Horror: The Card Game – The Dunwich Legacy: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","252896","Arkham Horror: The Card Game – The Eternal Slumber: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","398893","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","398891","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","377055","Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","377056","Arkham Horror: The Card Game – The Forgotten Age: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","429274","Arkham Horror: The Card Game – The Innsmouth Conspiracy: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","308592","Arkham Horror: The Card Game – The Innsmouth Conspiracy: Expansion","False"
"205637","Arkham Horror: The Card Game","428491","Arkham Horror: The Card Game – The Innsmouth Conspiracy: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","233977","Arkham Horror: The Card Game – The Labyrinths of Lunacy: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","327294","Arkham Horror: The Card Game – The Lair of Dagon: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","424487","Arkham Horror: The Card Game – The Midwinter Gala: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","252897","Arkham Horror: The Card Game – The Night's Usurper: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","237234","Arkham Horror: The Card Game – The Pallid Mask: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","358212","Arkham Horror: The Card Game – The Path to Carcosa: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","225563","Arkham Horror: The Card Game – The Path to Carcosa: Expansion","False"
"205637","Arkham Horror: The Card Game","358213","Arkham Horror: The Card Game – The Path to Carcosa: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","366215","Arkham Horror: The Card Game – The Scarlet Keys: Campaign Expansion","False"
"205637","Arkham Horror: The Card Game","366213","Arkham Horror: The Card Game – The Scarlet Keys: Investigator Expansion","False"
"205637","Arkham Horror: The Card Game","286257","Arkham Horror: The Card Game – The Search for Kadath: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","264459","Arkham Horror: The Card Game – The Secret Name: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","230510","Arkham Horror: The Card Game – The Unspeakable Oath: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","266377","Arkham Horror: The Card Game – The Wages of Sin: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","247718","Arkham Horror: The Card Game – Threads of Fate: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","271056","Arkham Horror: The Card Game – Union and Disillusion: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","321101","Arkham Horror: The Card Game – War of the Outer Gods: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","297471","Arkham Horror: The Card Game – Weaver of the Cosmos: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","297200","Arkham Horror: The Card Game – Where the Gods Dwell: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","305513","Arkham Horror: The Card Game – Winifred Habbamock: Investigator Starter Deck","False"
"205637","Arkham Horror: The Card Game","295594","Barkham Horror: The Card Game – The Meddling of Meowlathotep: Scenario Pack","False"
"248490","Atlantis Rising (Second Edition)","295017","Atlantis Rising (Second Edition): Extended Difficulty Mini-Expansion","False"
"248490","Atlantis Rising (Second Edition)","307302","Atlantis Rising: Medusa Unleashed","False"
"248490","Atlantis Rising (Second Edition)","392705","Atlantis Rising: Monstrosities – Here There Be Monsters","False"
"248490","Atlantis Rising (Second Edition)","326889","Atlantis Rising: Orator","False"
"231581","AuZtralia","358148","AuZtralia Big Z Box","False"
"231581","AuZtralia","357878","AuZtralia: Promo Packet 1","False"
"231581","AuZtralia","313047","AuZtralia: Revenge of the Old Ones","False"
"231581","AuZtralia","320110","AuZtralia: TaZmania","False"
"230802","Azul","294345","Azul: Crystal Mosaic","False"
"230802","Azul","235739","Azul: Joker Tiles","False"
"230802","Azul","466334","Azul: Promo Collection 1","False"
"230802","Azul","264017","Azul: Special Factories Promo","False"
"230802","Azul","257590","Deutscher Spielepreis 2018 Goodie Box","False"
"230802","Azul","293240","Super Power","False"
"143741","BANG! The Dice Game","193614","BANG! The Dice Game: Old Saloon","False"
"143741","BANG! The Dice Game","283717","BANG! The Dice Game: Undead or Alive","False"
"37111","Battlestar Galactica: The Board Game","141648","Battlestar Galactica: The Board Game – Daybreak Expansion","False"
"37111","Battlestar Galactica: The Board Game","85905","Battlestar Galactica: The Board Game – Exodus Expansion","False"
"37111","Battlestar Galactica: The Board Game","43539","Battlestar Galactica: The Board Game – Pegasus Expansion","False"
"317985","Beyond the Sun","378291","Beyond the Sun: Leaders of the New Dawn","False"
"317985","Beyond the Sun","337306","Beyond the Sun: Sagittarius A and Beta Colony Promo Cards","False"
"347521","Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","369831","Blitzkrieg!: Decryption Promo Tile","False"
"822","Carcassonne","167903","20 Jahre Darmstadt Spielt","False"
"822","Carcassonne","318408","Die Bettler (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","447763","The Black Rider","False"
"822","Carcassonne","291518","Carcassonne Maps: Chips","False"
"822","Carcassonne","276673","Carcassonne Maps: Deutschland","False"
"822","Carcassonne","388042","Carcassonne Maps: Nordics","False"
"822","Carcassonne","291516","Carcassonne Maps: Península Ibérica","False"
"822","Carcassonne","349185","Carcassonne Maps: Taiwan","False"
"822","Carcassonne","372322","Carcassonne Maps: Ukraine","False"
"822","Carcassonne","322457","Carcassonne Maps: USA East","False"
"822","Carcassonne","322458","Carcassonne Maps: USA West","False"
"822","Carcassonne","400565","Carcassonne: 3D Starting Landscape","False"
"822","Carcassonne","433231","Carcassonne: 4 Seasons – The Autumn","False"
"822","Carcassonne","420726","Carcassonne: 4 Seasons – The Spring","False"
"822","Carcassonne","442633","Carcassonne: 4 Seasons – The Summer","False"
"822","Carcassonne","31784","Carcassonne: Abbey & Mayor","False"
"822","Carcassonne","167744","Carcassonne: Bonusplättchen Spiel 2014","False"
"822","Carcassonne","186143","Carcassonne: Bonusplättchen Spiel 2015","False"
"822","Carcassonne","210799","Carcassonne: Bonusplättchen Spiel 2016","False"
"822","Carcassonne","238416","Carcassonne: Bonusplättchen Spiel 2017","False"
"822","Carcassonne","263941","Carcassonne: Bonusplättchen Spiel 2018","False"
"822","Carcassonne","292749","Carcassonne: Bonusplättchen Spiel 2019","False"
"822","Carcassonne","321496","Carcassonne: Bonusplättchen Spiel 2020","False"
"822","Carcassonne","349121","Carcassonne: Bonusplättchen Spiel 2021","False"
"822","Carcassonne","372334","Carcassonne: Bonusplättchen Spiel 2022","False"
"822","Carcassonne","402965","Carcassonne: Bonusplättchen Spiel 2023","False"
"822","Carcassonne","430140","Carcassonne: Bonusplättchen Spiel 2024","False"
"822","Carcassonne","456854","Carcassonne: Bonusplättchen Spiel 2025","False"
"822","Carcassonne","458734","Carcassonne: Castles & Bridges","False"
"822","Carcassonne","175653","Carcassonne: Castles in Germany","False"
"822","Carcassonne","38855","Carcassonne: Catapult","False"
"822","Carcassonne","217006","Carcassonne: Circus & Artists","False"
"822","Carcassonne","120686","Carcassonne: Corn Circles II","False"
"822","Carcassonne","35666","Carcassonne: Cult, Siege & Creativity","False"
"822","Carcassonne","232336","Carcassonne: CutCassonne","False"
"822","Carcassonne","168121","Carcassonne: Darmstadt","False"
"822","Carcassonne","195771","Carcassonne: Das Labyrinth","False"
"822","Carcassonne","59065","Carcassonne: Der Tunnel","False"
"822","Carcassonne","166518","Carcassonne: Die Belagerer","False"
"822","Carcassonne","13300","Carcassonne: Die Katharer","False"
"822","Carcassonne","67055","Carcassonne: Die Kornkreise","False"
"822","Carcassonne","199988","Carcassonne: Die Wahrsagerin","False"
"822","Carcassonne","131676","Carcassonne: Die Windrosen","False"
"822","Carcassonne","15158","Carcassonne: Dragon & Fairy","False"
"822","Carcassonne","184578","Carcassonne: Easter in Carcassonne","False"
"822","Carcassonne","33458","Carcassonne: Expansion 6 – Count, King & Robber","False"
"822","Carcassonne","66646","Carcassonne: Expansion 8 – Bridges, Castles and Bazaars","False"
"822","Carcassonne","196080","Carcassonne: German Cathedrals","False"
"822","Carcassonne","26615","Carcassonne: GQ Promo Tiles","False"
"822","Carcassonne","309267","Carcassonne: Halb so Wild","False"
"822","Carcassonne","166052","Carcassonne: Halb so wild I","False"
"822","Carcassonne","169392","Carcassonne: Halb so wild II","False"
"822","Carcassonne","2993","Carcassonne: Inns & Cathedrals","False"
"822","Carcassonne","455826","Carcassonne: Jousts & Crests","False"
"822","Carcassonne","373289","Carcassonne: Karácsonyi ajándék","False"
"822","Carcassonne","7707","Carcassonne: King & Scout","False"
"822","Carcassonne","158041","Carcassonne: Klöster in Deutschland","False"
"822","Carcassonne","24506","Carcassonne: Kreivi ja Kuningas","False"
"822","Carcassonne","72295","Carcassonne: La Porxada","False"
"822","Carcassonne","130998","Carcassonne: Little Buildings","False"
"822","Carcassonne","118618","Carcassonne: Mage & Witch","False"
"822","Carcassonne","291514","Carcassonne: Maps – Benelux","False"
"822","Carcassonne","291512","Carcassonne: Maps – France","False"
"822","Carcassonne","291515","Carcassonne: Maps – Great Britain","False"
"822","Carcassonne","435141","Carcassonne: Medina Azahara","False"
"822","Carcassonne","458641","Carcassonne: Messengers & Mayors","False"
"822","Carcassonne","414486","Carcassonne: Mini-Bundle I","False"
"822","Carcassonne","215144","Каркассон: Соловей-Разбойник и Водяной (Carcassonne: Nightingale the Robber and the Water Spirit)","False"
"822","Carcassonne","215210","Carcassonne: Nikolaus-Zählleiste","False"
"822","Carcassonne","367759","Carcassonne: Promo Carcassonne Spain 2022","False"
"822","Carcassonne","153773","Carcassonne: Sheep & Shepherds","False"
"822","Carcassonne","451659","Carcassonne: Siege & Defense","False"
"822","Carcassonne","420727","Carcassonne: Snakes and Ladders","False"
"822","Carcassonne","260589","Carcassonne: Spiel Doch Mini Expansion","False"
"822","Carcassonne","331479","Carcassonne: Spiel Doch! Expansion","False"
"822","Carcassonne","186144","Carcassonne: Starttableau","False"
"822","Carcassonne","456446","Carcassonne: The Abbot","False"
"822","Carcassonne","262563","Carcassonne: The Barber-Surgeons","False"
"822","Carcassonne","372858","Carcassonne: The Bets","False"
"822","Carcassonne","179919","Carcassonne: The City Gates","False"
"822","Carcassonne","12903","Carcassonne: The Count of Carcassonne","False"
"822","Carcassonne","38431","Carcassonne: The Cult","False"
"822","Carcassonne","406740","Carcassonne: The Drawbridges","False"
"822","Carcassonne","118614","Carcassonne: The Ferries","False"
"822","Carcassonne","123905","Carcassonne: The Festival","False"
"822","Carcassonne","118615","Carcassonne: The Flying Machines","False"
"822","Carcassonne","469558","Carcassonne: The Four Seasons – The Winter","False"
"822","Carcassonne","248979","Carcassonne: The Fruit-Bearing Trees","False"
"822","Carcassonne","349162","Carcassonne: The Gifts","False"
"822","Carcassonne","118617","Carcassonne: The Gold Mines","False"
"822","Carcassonne","308636","Carcassonne: The Land Surveyors","False"
"822","Carcassonne","235057","Carcassonne: The Markets of Leipzig","False"
"822","Carcassonne","118619","Carcassonne: The Messengers","False"
"822","Carcassonne","324940","Carcassonne: The Peasant Revolts","False"
"822","Carcassonne","92332","Carcassonne: The Phantom","False"
"822","Carcassonne","85003","Carcassonne: The Plague","False"
"822","Carcassonne","2591","Carcassonne: The River","False"
"822","Carcassonne","18836","Carcassonne: The River II","False"
"822","Carcassonne","118616","Carcassonne: The Robbers","False"
"822","Carcassonne","104634","Carcassonne: The School","False"
"822","Carcassonne","352169","Carcassonne: The Signposts","False"
"822","Carcassonne","291517","Carcassonne: The Tollkeepers","False"
"822","Carcassonne","211023","Carcassonne: The Watchtowers","False"
"822","Carcassonne","400738","Carcassonne: The Wonders of Humanity","False"
"822","Carcassonne","428459","Carcassonne: The Wonders of Humanity Set II","False"
"822","Carcassonne","459193","Carcassonne: The Wonders of Humanity Set III","False"
"822","Carcassonne","21385","Carcassonne: Towers & Thieves","False"
"822","Carcassonne","5405","Carcassonne: Traders & Builders","False"
"822","Carcassonne","372336","Carcassonne: Ukraine Promo Tile","False"
"822","Carcassonne","317976","Fischerhütte (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","317988","Holzfäller & Müller (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","457233","The Journey to Carcassonne","False"
"822","Carcassonne","318419","Landschaftskarten die Dritte (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","401313","Mists over Carcassonne: The Spell Circles","False"
"822","Carcassonne","318418","Nochmal neue Landschaftskarten (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","331478","Spielbox-Almanach 25 Jahre Hans im Glück Beilage","False"
"822","Carcassonne","318412","Truppenaufmarsch (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","318386","Wald (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","319124","Die Wälder von Carcassonne V2 (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","317977","Weg durch die Stadt (fan-erweiterung für Carcassonne)","False"
"822","Carcassonne","160096","Каркассон: Дворяне и Башни","False"
"822","Carcassonne","211659","Каркассон: Наука и магия","False"
"822","Carcassonne","160095","Каркассон: Предместья и обитатели","False"
"822","Carcassonne","177728","Каркассон: тайл Избушка","False"
"333372","Cellulose: A Plant Cell Biology Game","368087","Cellulose: A Plant Cell Biology Game – Coconut Scenario","False"
"333372","Cellulose: A Plant Cell Biology Game","367852","Cellulose: A Plant Cell Biology Game – Scenario Pack I","False"
"170223","Centauri Saga","225321","Centauri Saga: Abandoned","False"
