"bgg_id","name","num_plays","year_published","players","complexity","bgg_rating","current_rating","bgg_comment","notes","new_rating","bgg_game_url"
"267244","The Defence of Procyon III","0","2021","1-4","4.0513","7.86723","0","","","","https://boardgamegeek.com/boardgame/267244"
"368432","The Fox Experiment","0","2023","1-4","2.5825","7.30908","0","","","","https://boardgamegeek.com/boardgame/368432"
"256704","The Stuff of Legend","0","2023","3-6","3","6.95059","0","","","","https://boardgamegeek.com/boardgame/256704"
"371942","The White Castle","0","2023","1-4","3.0718","7.9763","0","","","","https://boardgamegeek.com/boardgame/371942"
"415200","Theocratia","0","2026","1-4","3.6667","5.71458","0","","","","https://boardgamegeek.com/boardgame/415200"
"331787","Tiny Epic Dungeons","0","2021","1-4","3.1131","7.43346","0","","","","https://boardgamegeek.com/boardgame/331787"
"148951","Tiny Epic Kingdoms","0","2014","2-5","2.1061","6.5349","0","","","","https://boardgamegeek.com/boardgame/148951"
"360896","Tiny Epic Vikings","0","2023","1-4","2.7692","7.25207","0","","","","https://boardgamegeek.com/boardgame/360896"
"343433","Tír na nÓg","0","2024","1-5","2.1481","7.23216","0","","","","https://boardgamegeek.com/boardgame/343433"
"281442","Trismegistus: The Ultimate Formula","0","2019","1-4","4.186","7.5409","0","","","","https://boardgamegeek.com/boardgame/281442"
"233078","Twilight Imperium: Fourth Edition","0","2017","3-6","4.3661","8.55964","0","","","","https://boardgamegeek.com/boardgame/233078"
"12333","Twilight Struggle","0","2005","2","3.6149","8.22605","0","","","","https://boardgamegeek.com/boardgame/12333"
"401978","Undaunted 2200: Callisto","0","2024","1-4","2.8","7.68198","0","","","","https://boardgamegeek.com/boardgame/401978"
"464543","Undaunted 2200: Revolution","0","2026","2-4","2","8.4","0","","","","https://boardgamegeek.com/boardgame/464543"
"296151","Viscounts of the West Kingdom","0","2020","1-4","3.4612","7.78954","0","","","","https://boardgamegeek.com/boardgame/296151"
"350316","Wayfarers of the South Tigris","0","2022","1-4","3.8071","7.76262","0","","","","https://boardgamegeek.com/boardgame/350316"
"339789","Welcome to the Moon","0","2021","1-6","2.4578","7.84219","0","","","","https://boardgamegeek.com/boardgame/339789"
"322589","Zapotec","0","2022","1-4","3","7.13521","0","","","","https://boardgamegeek.com/boardgame/322589"
