"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"B","8","98","205716","New Angeles","7.127","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/205716"
"B","8","99","120677","Terra Mystica","7.118","8","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/120677"
"B","8","100","267370","Cities: Skylines – The Board Game","7.108","2","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/267370"
"B","8","101","34635","Stone Age","7.098","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/34635"
"B","8","102","224517","Brass: Birmingham","7.088","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/224517"
"B","8","103","278553","Silver","7.078","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/278553"
"B","8","104","185343","Anachrony","7.069","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/185343"
"B","8","105","254632","Hyperspace","7.059","2","False","False","True","False","False","NotOwned","Backed in 2018! ⚠️ Who the F knows!","","https://boardgamegeek.com/boardgame/254632"
"B","8","106","146910","Wildcatters","7.049","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/146910"
"B","8","108","6249","Alhambra","7.029","3","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/6249"
"B","8","109","366013","Heat: Pedal to the Metal","7.02","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/366013"
"B","8","110","144733","Russian Railroads","7.01","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/144733"
