"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","players","complexity","bgg_rating","bgg_comment","notes","bgg_game_url"
"B","8","25","264052","Circadians: First Light","7.757","3","True","False","False","False","False","Owned","1-4","3.3684","7.51118","","","https://boardgamegeek.com/boardgame/264052"
"B","8","26","183571","Deep Space D-6","7.747","3","True","False","False","False","False","Owned","1","1.6639","7.13331","","","https://boardgamegeek.com/boardgame/183571"
"B","8","27","317859","Forests of Pangaia","7.737","3","True","False","False","False","False","Owned","1-4","2.3617","7.24481","","","https://boardgamegeek.com/boardgame/317859"
"B","8","28","242684","Reavers of Midgard","7.727","3","True","False","True","False","False","Owned","2-4","2.934","7.32047","","","https://boardgamegeek.com/boardgame/242684"
"B","8","29","307002","Regicide","7.716","3","True","False","False","False","False","Owned","1-4","1.9736","7.39046","","","https://boardgamegeek.com/boardgame/307002"
"B","8","30","298231","Skyrise","7.706","3","True","False","False","False","False","Owned","2-4","2.2474","7.66281","","","https://boardgamegeek.com/boardgame/298231"
"B","8","31","284616","Small Samurai Empires","7.696","3","True","False","False","False","False","Owned","2-4","2.75","7.52983","","","https://boardgamegeek.com/boardgame/284616"
"B","8","32","142079","Space Cadets: Dice Duel","7.686","3","True","False","True","False","False","Owned","4-8","2.0865","6.73071","","","https://boardgamegeek.com/boardgame/142079"
"B","8","33","324856","The Crew: Mission Deep Sea","7.676","3","True","False","False","False","False","Owned","2-5","2.0558","8.03882","","","https://boardgamegeek.com/boardgame/324856"
"B","8","34","274364","Watergate","7.666","3","True","False","False","False","False","Owned","2","2.298","7.70318","","","https://boardgamegeek.com/boardgame/274364"
"B","8","35","231581","AuZtralia","7.656","2","True","False","True","False","False","Owned","1-4","2.8878","7.32889","","","https://boardgamegeek.com/boardgame/231581"
"B","8","36","356768","Bloc by Bloc: Uprising","7.646","2","True","False","True","False","False","Owned","1-4","2.5789","7.23369","","","https://boardgamegeek.com/boardgame/356768"
"B","8","37","317457","Dinosaur World","7.636","2","True","False","True","False","False","Owned","2-4","3.2733","7.30618","","","https://boardgamegeek.com/boardgame/317457"
