"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","categories","mechanics"
"1-100","1","69","7","6.000-6.999","233867","Welcome To...","7.9","6.999","4","1-100","1.8422","7.50684","City Building","System.Object[]"
"2-4","2","69","7","6.000-6.999","48726","Alien Frontiers","7.9","6.984","3","2-4","2.5647","7.3398","System.Object[]","System.Object[]"
"2","3","69","7","6.000-6.999","147020","Star Realms","7.9","6.97","1","2","1.9145","7.55116","System.Object[]","System.Object[]"
"2-4","4","69","7","6.000-6.999","205597","Jump Drive","7.8","6.955","19","2-4","2.0154","6.99847","System.Object[]","System.Object[]"
"2-5","5","69","7","6.000-6.999","822","Carcassonne","7.8","6.94","10","2-5","1.885","7.41633","System.Object[]","System.Object[]"
"2-4","6","69","7","6.000-6.999","270673","Silver & Gold","7.8","6.926","4","2-4","1.2169","7.16198","System.Object[]","System.Object[]"
"1-4","7","69","7","6.000-6.999","123260","Suburbia","7.8","6.911","1","1-4","2.7576","7.4551","System.Object[]","System.Object[]"
"1-8","8","69","7","6.000-6.999","100423","Elder Sign","7.6","6.896","6","1-8","2.3434","6.96681","System.Object[]","System.Object[]"
"2-4","9","69","7","6.000-6.999","140934","Arboretum","7.5","6.881","6","2-4","2.1118","7.2428","System.Object[]","System.Object[]"
"2-4","10","69","7","6.000-6.999","260300","Dungeon Mayhem","7.5","6.867","5","2-4","1.1518","6.86018","System.Object[]","System.Object[]"
"1-6","11","69","7","6.000-6.999","257089","Big Trouble in Little China: The Game – Deluxe Edition","7.5","6.852","4","1-6","3","7.73951","System.Object[]","System.Object[]"
"1-5","12","69","7","6.000-6.999","171273","FUSE","7.5","6.837","3","1-5","1.6628","6.98334","System.Object[]","System.Object[]"
"2-4","13","69","7","6.000-6.999","30549","Pandemic","7.5","6.823","2","2-4","2.3941","7.51354","System.Object[]","System.Object[]"
"2-4","14","69","7","6.000-6.999","139976","Cthulhu Wars","7.5","6.808","1","2-4","3.1466","7.83923","System.Object[]","System.Object[]"
"1-4","15","69","7","6.000-6.999","343900","Senjutsu: Battle For Japan","7.5","6.793","1","1-4","2.9189","7.20477","System.Object[]","System.Object[]"
"2-4","16","69","7","6.000-6.999","110277","Among the Stars","7.5","6.779","1","2-4","2.2377","7.00909","System.Object[]","System.Object[]"
"2","17","69","7","6.000-6.999","255674","Imhotep: The Duel","7.4","6.764","2","2","1.9701","7.04865","Ancient","System.Object[]"
"2-5","18","69","7","6.000-6.999","209685","Century: Spice Road","7.2","6.749","15","2-5","1.7986","7.29009","System.Object[]","System.Object[]"
"2-75","19","69","7","6.000-6.999","232524","Welcome to Dino World","7.2","6.735","2","2-75","2.375","6.71487","System.Object[]","System.Object[]"
"2-99","20","69","7","6.000-6.999","62871","Zombie Dice","7.2","6.72","1","2-99","1.0923","6.22983","System.Object[]","System.Object[]"
"2","21","69","7","6.000-6.999","4396","Odin's Ravens","7.1","6.705","1","2","1.6802","6.64425","System.Object[]","System.Object[]"
"2-10","22","69","7","6.000-6.999","432","Take 5","7","6.69","22","2-10","1.1887","6.98464","System.Object[]","System.Object[]"
"2-4","23","69","7","6.000-6.999","230802","Azul","7","6.676","19","2-4","1.7744","7.71554","System.Object[]","System.Object[]"
"2-4","24","69","7","6.000-6.999","270314","Ohanami","7","6.661","13","2-4","1.1597","7.2595","System.Object[]","System.Object[]"
"2-4","25","69","7","6.000-6.999","178044","Small Star Empires","7","6.646","8","2-4","2.0312","7.08055","System.Object[]","System.Object[]"
"2-5","26","69","7","6.000-6.999","133473","Sushi Go!","7","6.632","8","2-5","1.1644","6.9823","System.Object[]","System.Object[]"
"2","27","69","7","6.000-6.999","50","Lost Cities","7","6.617","7","2","1.4746","7.25831","System.Object[]","System.Object[]"
"2-6","28","69","7","6.000-6.999","353470","Star Wars: Jabba's Palace – A Love Letter Game","7","6.602","6","2-6","1.25","7.19372","System.Object[]","System.Object[]"
"2-7","29","69","7","6.000-6.999","181304","Mysterium","7","6.588","6","2-7","1.8899","7.19043","System.Object[]","System.Object[]"
"2","30","69","7","6.000-6.999","264241","Mandala","7","6.573","5","2","1.7815","7.43216","System.Object[]","System.Object[]"
"2-6","31","69","7","6.000-6.999","274960","Point Salad","7","6.558","5","2-6","1.1529","7.08964","Card Game","System.Object[]"
"2-6","32","69","7","6.000-6.999","131357","Coup","7","6.544","5","2-6","1.4152","6.97519","System.Object[]","System.Object[]"
"2-5","33","69","7","6.000-6.999","329151","Draconic Dice","7","6.529","5","2-5","1.1429","6.33396","Dice","Dice Rolling"
"2-5","34","69","7","6.000-6.999","284083","The Crew: The Quest for Planet Nine","7","6.514","3","2-5","1.9659","7.75607","System.Object[]","System.Object[]"
"2-4","35","69","7","6.000-6.999","129622","Love Letter","7","6.5","3","2-4","1.1849","7.22635","System.Object[]","System.Object[]"
"2-6","36","69","7","6.000-6.999","313841","Lunar Base","7","6.485","3","2-6","2.0476","7.10936","System.Object[]","System.Object[]"
"2-5","37","69","7","6.000-6.999","300442","Trekking the World","7","6.47","3","2-5","1.8936","7.03753","System.Object[]","System.Object[]"
"2","38","69","7","6.000-6.999","290359","Undaunted: North Africa","7","6.455","2","2","2.3333","7.7525","System.Object[]","System.Object[]"
"2","39","69","7","6.000-6.999","247367","Air, Land, & Sea","7","6.441","2","2","1.7411","7.43886","System.Object[]","System.Object[]"
"2-6","40","69","7","6.000-6.999","159473","Quartermaster General","7","6.426","2","2-6","2.2866","7.2591","System.Object[]","System.Object[]"
"2-4","41","69","7","6.000-6.999","232043","Queendomino","7","6.411","2","2-4","2.0698","7.13678","System.Object[]","System.Object[]"
"1-4","42","69","7","6.000-6.999","274037","Solar Storm","7","6.397","2","1-4","2.0667","6.93859","System.Object[]","System.Object[]"
"1-5","43","69","7","6.000-6.999","279720","Streets","7","6.382","2","1-5","1.9825","6.57495","City Building","System.Object[]"
"2-5","44","69","7","6.000-6.999","369258","Isle of Skye: Big Box","7","6.367","1","2-5","2.125","7.93897","System.Object[]","System.Object[]"
"2-5","45","69","7","6.000-6.999","297562","Kemet: Blood and Sand","7","6.353","1","2-5","3.1965","7.90331","System.Object[]","System.Object[]"
"2","46","69","7","6.000-6.999","182631","Star Realms: Colony Wars","7","6.338","1","2","1.8797","7.77826","System.Object[]","System.Object[]"
"2-4","47","69","7","6.000-6.999","362944","War of the Ring: The Card Game","7","6.323","1","2-4","2.9809","7.60321","System.Object[]","System.Object[]"
"1-2","48","69","7","6.000-6.999","347521","Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","7","6.309","1","1-2","1.7391","7.50772","System.Object[]","System.Object[]"
"2-4","49","69","7","6.000-6.999","379629","Knarr","7","6.294","1","2-4","1.9087","7.47168","Card Game","System.Object[]"
"2","50","69","7","6.000-6.999","158600","Hanamikoji","7","6.279","1","2","1.6762","7.45138","System.Object[]","System.Object[]"
"1-6","51","69","7","6.000-6.999","256852","Aliens: Another Glorious Day in the Corps","7","6.264","1","1-6","2.8378","7.42331","System.Object[]","System.Object[]"
"1-5","52","69","7","6.000-6.999","38453","Space Alert","7","6.25","1","1-5","2.9699","7.37766","System.Object[]","System.Object[]"
"2-4","53","69","7","6.000-6.999","192153","Reign of Cthulhu","7","6.235","1","2-4","2.1652","7.35714","System.Object[]","System.Object[]"
"2-4","54","69","7","6.000-6.999","31481","Galaxy Trucker","7","6.22","1","2-4","2.3283","7.32197","System.Object[]","System.Object[]"
"1-4","55","69","7","6.000-6.999","296108","Terraforming Mars: The Dice Game","7","6.206","1","1-4","2.4179","7.31904","System.Object[]","System.Object[]"
"2-4","56","69","7","6.000-6.999","264141","Kodachi","7","6.191","1","2-4","1.8261","7.28895","Card Game","System.Object[]"
"1-5","57","69","7","6.000-6.999","241724","Villagers","7","6.176","1","1-5","2.227","7.10542","System.Object[]","System.Object[]"
"2-4","58","69","7","6.000-6.999","272738","Jaws","7","6.162","1","2-4","2.1778","7.06139","System.Object[]","System.Object[]"
"1-4","59","69","7","6.000-6.999","195314","Herbaceous","7","6.147","1","1-4","1.226","6.98786","System.Object[]","System.Object[]"
"2-7","60","69","7","6.000-6.999","194879","Not Alone","7","6.132","1","2-7","2","6.95492","System.Object[]","System.Object[]"
"2-4","61","69","7","6.000-6.999","253284","Ticket to Ride: New York","7","6.118","1","2-4","1.2632","6.88015","Trains","System.Object[]"
"1-2","62","69","7","6.000-6.999","256713","One Deck Galaxy","7","6.103","1","1-2","3.3158","6.83863","System.Object[]","System.Object[]"
"1-2","63","69","7","6.000-6.999","267401","Lawyer Up","7","6.088","1","1-2","2.6486","6.8203","Card Game","System.Object[]"
"2-4","64","69","7","6.000-6.999","65244","Forbidden Island","7","6.073","1","2-4","1.739","6.75039","System.Object[]","System.Object[]"
"2-4","65","69","7","6.000-6.999","344839","Dog Lover","7","6.059","1","2-4","1.8387","6.69968","System.Object[]","System.Object[]"
"2-4","66","69","7","6.000-6.999","8203","Hey, That's My Fish!","7","6.044","1","2-4","1.4446","6.69939","System.Object[]","System.Object[]"
"1-4","67","69","7","6.000-6.999","278120","God of War: The Card Game","7","6.029","1","1-4","2.5172","6.53862","System.Object[]","System.Object[]"
"1-4","68","69","7","6.000-6.999","170223","Centauri Saga","7","6.015","1","1-4","2.9412","6.51576","System.Object[]","System.Object[]"
"1-5","69","69","7","6.000-6.999","192638","Multiuniversum","7","6","1","1-5","1.8837","6.50915","System.Object[]","System.Object[]"
"1-4","1","82","8","7.000-7.999","216132","Clans of Caledonia","8.9","7.999","20","1-4","3.469","7.94533","System.Object[]","System.Object[]"
"1-5","2","82","8","7.000-7.999","169786","Scythe","8.9","7.987","7","1-5","3.4532","8.10128","System.Object[]","System.Object[]"
"2-4","3","82","8","7.000-7.999","228341","Pulsar 2849","8.9","7.974","3","2-4","3.3385","7.63474","System.Object[]","System.Object[]"
"1-2","4","82","8","7.000-7.999","205637","Arkham Horror: The Card Game","8.9","7.962","1","1-2","3.5658","8.11941","System.Object[]","System.Object[]"
"1-4","5","82","8","7.000-7.999","220308","Gaia Project","8.8","7.95","11","1-4","4.4037","8.35174","System.Object[]","System.Object[]"
"3-5","6","82","8","7.000-7.999","3076","Puerto Rico","8.6","7.937","12","3-5","3.2664","7.89913","System.Object[]","System.Object[]"
"2","7","82","8","7.000-7.999","298572","Cosmic Encounter Duel","8.6","7.925","2","2","2.381","6.55487","System.Object[]","System.Object[]"
"2","8","82","8","7.000-7.999","226631","War of the Worlds: The New Wave","8.6","7.913","1","2","2.2083","7.02501","System.Object[]","System.Object[]"
"2-4","9","82","8","7.000-7.999","68425","Eminent Domain","8.5","7.9","10","2-4","2.5099","6.96269","System.Object[]","System.Object[]"
"3-5","10","82","8","7.000-7.999","39463","Cosmic Encounter","8.5","7.888","8","3-5","2.5814","7.50745","System.Object[]","System.Object[]"
"1-5","11","82","8","7.000-7.999","266524","PARKS","8.5","7.876","2","1-5","2.1242","7.61618","System.Object[]","System.Object[]"
"1-4","12","82","8","7.000-7.999","292126","Excavation Earth","8.5","7.863","2","1-4","3.8077","7.11027","System.Object[]","System.Object[]"
"2-4","13","82","8","7.000-7.999","172287","Champions of Midgard","8.3","7.851","7","2-4","2.6208","7.70344","System.Object[]","System.Object[]"
"1-5","14","82","8","7.000-7.999","236457","Architects of the West Kingdom","8.2","7.839","13","1-5","2.7625","7.70678","System.Object[]","System.Object[]"
"2-4","15","82","8","7.000-7.999","220792","The Expanse Board Game","8.2","7.826","6","2-4","2.8182","7.16326","System.Object[]","System.Object[]"
"2-4","16","82","8","7.000-7.999","155821","Inis","8.2","7.814","5","2-4","2.9414","7.81397","System.Object[]","System.Object[]"
"2-4","17","82","8","7.000-7.999","265188","Glen More II: Chronicles","8.2","7.802","4","2-4","3.006","7.8568","System.Object[]","System.Object[]"
"2-4","18","82","8","7.000-7.999","126163","Tzolk'in: The Mayan Calendar","8.2","7.789","4","2-4","3.6646","7.84642","System.Object[]","System.Object[]"
"2-6","19","82","8","7.000-7.999","250467","Red Alert: Space Fleet Warfare","8.2","7.777","3","2-6","2.3529","7.77423","System.Object[]","System.Object[]"
"1-4","20","82","8","7.000-7.999","138161","Firefly: The Game","8.2","7.765","3","1-4","2.956","7.38165","System.Object[]","System.Object[]"
"2-4","21","82","8","7.000-7.999","194594","Dice Forge","8.1","7.752","3","2-4","1.9724","7.21274","System.Object[]","System.Object[]"
"1-2","22","82","8","7.000-7.999","247236","Duelosaur Island","8.1","7.74","3","1-2","2.3803","7.0126","System.Object[]","System.Object[]"
"2","23","82","8","7.000-7.999","173346","7 Wonders Duel","8.1","7.728","1","2","2.2273","8.07729","System.Object[]","System.Object[]"
"2-4","24","82","8","7.000-7.999","10630","Memoir '44","8","7.715","18","2-4","2.2729","7.5316","System.Object[]","System.Object[]"
"2","25","82","8","7.000-7.999","54043","Jaipur","8","7.703","18","2","1.4635","7.47943","System.Object[]","System.Object[]"
"2-4","26","82","8","7.000-7.999","247143","Senshi","8","7.691","9","2-4","1.8333","6.14885","Abstract Strategy","Set Collection"
"2-5","27","82","8","7.000-7.999","291453","SCOUT","8","7.678","8","2-5","1.3856","7.78921","Card Game","System.Object[]"
"1-6","28","82","8","7.000-7.999","258779","Planet Unknown","8","7.666","8","1-6","2.2514","7.76085","System.Object[]","System.Object[]"
"1-6","29","82","8","7.000-7.999","226320","My Little Scythe","8","7.654","8","1-6","2.0299","7.19947","System.Object[]","System.Object[]"
"2","30","82","8","7.000-7.999","163412","Patchwork","8","7.641","7","2","1.5977","7.57924","System.Object[]","System.Object[]"
"2-6","31","82","8","7.000-7.999","133848","Euphoria: Build a Better Dystopia","8","7.629","6","2-6","3.112","7.16344","Science Fiction","System.Object[]"
"1-4","32","82","8","7.000-7.999","221194","Dinosaur Island","8","7.617","5","1-4","3.045","7.52733","System.Object[]","System.Object[]"
"1-8","33","82","8","7.000-7.999","361545","Twilight Inscription","8","7.604","5","1-8","3.2155","7.40584","Science Fiction","System.Object[]"
"2","34","82","8","7.000-7.999","366495","Undaunted: Battle of Britain","8","7.592","4","2","2.75","7.87165","System.Object[]","System.Object[]"
"1-4","35","82","8","7.000-7.999","269210","Twice as Clever!","8","7.58","4","1-4","2.2718","7.41377","System.Object[]","System.Object[]"
"1-5","36","82","8","7.000-7.999","163967","Tiny Epic Galaxies","8","7.567","4","1-5","2.1547","7.3191","System.Object[]","System.Object[]"
"2-4","37","82","8","7.000-7.999","242574","Century: Eastern Wonders","8","7.555","4","2-4","2.1081","7.09677","Nautical","System.Object[]"
"1-2","38","82","8","7.000-7.999","289566","Hunted: Kobayashi Tower","8","7.543","4","1-2","2","6.83904","System.Object[]","System.Object[]"
"1-4","39","82","8","7.000-7.999","299178","Small Railroad Empires","8","7.53","4","1-4","2.3","6.59634","System.Object[]","System.Object[]"
"2-4","40","82","8","7.000-7.999","321608","Hegemony: Lead Your Class to Victory","8","7.518","3","2-4","4.255","8.37442","System.Object[]","System.Object[]"
"2","41","82","8","7.000-7.999","274364","Watergate","8","7.506","3","2","2.2924","7.71461","System.Object[]","System.Object[]"
"2-4","42","82","8","7.000-7.999","284616","Small Samurai Empires","8","7.493","3","2-4","2.7451","7.54942","System.Object[]","System.Object[]"
"1-4","43","82","8","7.000-7.999","264052","Circadians: First Light","8","7.481","3","1-4","3.3723","7.51755","System.Object[]","System.Object[]"
"1-7","44","82","8","7.000-7.999","248490","Atlantis Rising (Second Edition)","8","7.469","3","1-7","2.4643","7.47966","System.Object[]","System.Object[]"
"1-4","45","82","8","7.000-7.999","307002","Regicide","8","7.456","3","1-4","1.9679","7.38676","System.Object[]","System.Object[]"
"2-4","46","82","8","7.000-7.999","242684","Reavers of Midgard","8","7.444","3","2-4","2.934","7.32304","","System.Object[]"
"1-4","47","82","8","7.000-7.999","317859","Forests of Pangaia","8","7.432","3","1-4","2.3696","7.25811","System.Object[]","System.Object[]"
"1","48","82","8","7.000-7.999","183571","Deep Space D-6","8","7.419","3","1","1.6639","7.13791","System.Object[]","System.Object[]"
"1-4","49","82","8","7.000-7.999","200077","Mint Works","8","7.407","3","1-4","1.7308","6.88551","System.Object[]","System.Object[]"
"4-8","50","82","8","7.000-7.999","142079","Space Cadets: Dice Duel","8","7.395","3","4-8","2.0874","6.73444","System.Object[]","System.Object[]"
"1-4","51","82","8","7.000-7.999","316554","Dune: Imperium","8","7.382","2","1-4","3.0769","8.41224","System.Object[]","System.Object[]"
