"bgg_id","name","year_published","rating","num_plays"
"325494","ISS Vanguard","2022","0","1"
"272738","Jaws","2019","0","1"
"240957","Judge Dredd: The Cursed Earth","2019","0","1"
"297562","Kemet: Blood and Sand","2021","0","1"
"379629","Knarr","2023","0","1"
"264141","Kodachi","2019","0","1"
"267401","Lawyer Up","2021","0","1"
"368173","Let's Go! To Japan","2024","0","1"
"59959","Letters from Whitechapel","2011","0","1"
"205059","Mansions of Madness: Second Edition","2016","0","1"
"193322","Master of Orion: The Board Game","2016","0","1"
"230251","Mint Delivery","2017","0","1"
"358386","Moon","2023","0","1"
"192638","Multiuniversum","2016","0","1"
"325941","Nemo's War: The Ultimate Edition","2022","0","1"
"194879","Not Alone","2016","0","1"
"4396","Odin's Ravens","2002","0","1"
"179275","One Deck Dungeon","2016","0","1"
"256713","One Deck Galaxy","2022","0","1"
"304510","Pampero","2024","0","1"
"147299","Pocket Imperium","2013","0","1"
"156009","Port Royal","2014","0","1"
"331979","Quartermaster General WW2: 2nd Edition","2020","0","1"
"192153","Reign of Cthulhu","2016","0","1"
"309297","SCOPE Stalingrad","2020","0","1"
"343900","Senjutsu: Battle For Japan","2023","0","1"
"255984","Sleeping Gods","2021","0","1"
"38453","Space Alert","2008","0","1"
"123096","Space Cadets","2012","0","1"
"375459","Speakeasy","2025","0","1"
"147020","Star Realms","2014","0","1"
"182631","Star Realms: Colony Wars","2015","0","1"
"171226","Starfighter","2015","0","1"
"345542","Stellar Expedition","2023","0","1"
"123260","Suburbia","2012","0","1"
"350458","Terracotta Army","2022","0","1"
"296108","Terraforming Mars: The Dice Game","2023","0","1"
"292375","The Great Wall","2021","0","1"
"172047","The Others","2016","0","1"
"41114","The Resistance","2009","0","1"
"279537","The Search for Planet X","2020","0","1"
"295293","The Thing: The Boardgame","2022","0","1"
"14996","Ticket to Ride: Europe","2005","0","1"
"253284","Ticket to Ride: New York","2018","0","1"
"408253","Tiny Epic Cthulhu: Deluxe Edition","2024","0","1"
"260923","Titan","2022","0","1"
"285826","Ultra Tiny Epic Galaxies","2019","0","1"
"306735","Under Falling Skies","2020","0","1"
"340466","Unfathomable","2021","0","1"
"234190","Unstable Unicorns","2017","0","1"
"241724","Villagers","2019","0","1"
"115746","War of the Ring: Second Edition","2011","0","1"
"362944","War of the Ring: The Card Game","2022","0","1"
"226631","War of the Worlds: The New Wave","2019","0","1"
"276997","X-ODUS: Rise of the Corruption","2020","0","1"
"62871","Zombie Dice","2010","0","1"
