"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"2","165838","Space Hulk (Fourth Edition)","0","0","2","2.7113","7.93778","","","Fighting Miniatures Science Fiction","Action Points Dice Rolling Grid Movement Modular Board Scenario / Mission / Campaign Game Stat Check Resolution"
"2","135219","The Battle of Five Armies","0","0","2","3.6037","7.82206","","","Adventure Fantasy Fighting Novel-based Wargame","Area Majority / Influence Area Movement Dice Rolling Hand Management"
"2","12333","Twilight Struggle","0","0","2","3.6151","8.22639","","","Modern Warfare Political Wargame","Action / Event Advantage Token Area Majority / Influence Campaign / Battle Card Driven Dice Rolling Events Hand Management Simulation Simultaneous Action Selection Stat Check Resolution Sudden Death Ending Tug of War Variable Player Powers Variable Set-up"
"2-12","2375","Sequence","0","1","2-12","1.306","6.18361","","","Abstract Strategy Card Game","Hand Management Pattern Building Take That Team-Based Game"
"2-4","155987","Abyss","0","1","2-4","2.3193","7.32232","","","Card Game Fantasy Mythology Nautical","Auction / Bidding Hand Management Memory Open Drafting Push Your Luck Set Collection"
"2-4","281940","Ascension of the Galaxy","0","0","2-4","3","6.8","","","Print & Play Science Fiction Wargame","Dice Rolling Hexagon Grid Line of Sight Scenario / Mission / Campaign Game Secret Unit Deployment Simulation Solo / Solitaire Game Variable Player Powers"
"2-4","54137","Battle Sheep","0","2","2-4","1.4555","6.59767","","","Abstract Strategy Animals","Enclosure Grid Movement Hexagon Grid Modular Board"
"2-4","296167","Boomerang: Australia","0","1","2-4","1.5263","6.83725","","","Card Game Travel","Closed Drafting End Game Bonuses Paper-and-Pencil Set Collection Simultaneous Action Selection Tags"
"2-4","171499","Cacao","0","0","2-4","1.8199","7.07016","","","Economic Farming Territory Building","Area Majority / Influence End Game Bonuses Hand Management Income Layering Map Addition Open Drafting Tile Placement"
"2-4","269789","Caravan","0","1","2-4","1.7692","6.56417","","","Abstract Strategy Arabian","Action Points Grid Movement Pick-up and Deliver Take That"
"2-4","401216","Cascadero","0","0","2-4","2.5532","7.26427","","","Abstract Strategy Renaissance","Chaining Connections Hexagon Grid Network and Route Building Once-Per-Game Abilities Track Movement"
"2-4","402676","Cities","0","1","2-4","1.8849","7.29075","","","Abstract Strategy City Building","Closed Drafting Contracts Open Drafting Pattern Building Set Collection Tile Placement Turn Order: Claim Action Variable Set-up Worker Placement"
"2-4","218200","Constellations","0","0","2-4","1.6667","6.83596","","","Card Game Educational Puzzle","Hand Management Modular Board Set Collection Tile Placement"
"2-4","249411","Cuzco","0","0","2-4","2.6515","7.41014","","","City Building","Action Points Area Majority / Influence Auction / Bidding Hand Management Hexagon Grid Layering Map Addition Once-Per-Game Abilities Tile Placement Zone of Control"
"2-4","341165","Dune: A Game of Conquest and Diplomacy","0","0","2-4","2.6316","6.65085","","","Novel-based Science Fiction Wargame","Area Majority / Influence Force Commitment Variable Player Powers"
"2-4","299106","Fractal","0","0","2-4","3.569","7.49454","","","Adventure Civilization Political Science Fiction Space Exploration Wargame","Action Points Area Movement Campaign / Battle Card Driven Legacy Game Modular Board Variable Player Powers Variable Set-up"
"2-4","352823","Galileo Project","0","0","2-4","2.75","7.29342","","","Science Fiction Space Exploration","Open Drafting Set Collection"
"2-4","379633","Humanity","0","0","2-4","2.6","6.62602","","","City Building Space Exploration","Hidden Victory Points Order Counters Tech Trees / Tech Tracks Tile Placement Worker Placement Worker Placement with Dice Workers"
"2-4","334320","Langskip","0","2","2-4",,"7.565","","","Bluffing","Race"
"2-4","299249","Mint Control","0","0","2-4","2.1667","5.43015","","","Card Game Humor Print & Play","Action Drafting Area Majority / Influence Follow"
"2-4","191051","Outlive","0","0","2-4","3.0343","7.25593","","","Science Fiction","Area Movement Events Set Collection Take That Variable Set-up Worker Placement Worker Placement, Different Worker Types"
"2-4","143519","Quantum","0","1","2-4","2.4781","7.22526","","","Dice Fighting Science Fiction Space Exploration","Area Majority / Influence Dice Rolling Grid Movement Modular Board Square Grid"
"2-4","262712","Res Arcana","0","1","2-4","2.6554","7.61207","","","Card Game Fantasy","Hand Management Income Multi-Use Cards Open Drafting Race Score-and-Reset Game Take That Turn Order: Pass Order Variable Player Powers"
"2-4","108745","Seasons","0","2","2-4","2.7847","7.33302","","","Card Game Fantasy","Closed Drafting Dice Rolling Die Icon Resolution Hand Management Open Drafting Tags Take That Turn Order: Progressive Victory Points as a Resource"
"2-4","281647","Stellaris: Infinite Legacy","0","0","2-4","3.8261","4.45668","Backed in 2021! ⚠️ Who the F knows!","","Adventure Civilization Exploration Science Fiction Space Exploration Territory Building Video Game Theme","Area Majority / Influence Area Movement Modular Board Simultaneous Action Selection Trading Variable Phase Order Variable Player Powers"
"2-4","121015","Tea Time","0","1","2-4","1.2","5.80875","","","Card Game Novel-based","Set Collection"
"2-4","105037","Tournay","0","1","2-4","2.9","6.93673","","","Card Game City Building Economic Medieval","End Game Bonuses Events Hand Management Income Layering Modular Board Open Drafting Worker Placement Worker Placement, Different Worker Types"
"2-4","464543","Undaunted 2200: Revolution","0","0","2-4","2","8.4","","","Aviation / Flight Card Game Dice Science Fiction Wargame","Command Cards Deck, Bag, and Pool Building Dice Rolling Grid Movement Hand Management Scenario / Mission / Campaign Game Team-Based Game"
"2-5","400205","5 Towers","0","0","2-5","1.234","6.69109","","","Card Game","Auction / Bidding Auction: Once Around Open Drafting Set Collection Turn Order: Progressive"
"2-5","199383","Calimala","0","1","2-5","2.7959","7.30025","","","Economic Industry / Manufacturing Medieval Renaissance Transportation Travel","Area Majority / Influence End Game Bonuses Modular Board Order Counters Variable Set-up"
"2-5","4390","Carcassonne: Hunters and Gatherers","0","3","2-5","1.922","7.1307","","","Prehistoric Territory Building","Area Majority / Influence Enclosure Kill Steal Map Addition Pattern Building Square Grid"
"2-5","329226","Circadians: Chaos Order","0","0","2-5","3.8652","7.88164","","","Science Fiction Wargame","Action Drafting Area Majority / Influence Area Movement Card Play Conflict Resolution Hand Management Hexagon Grid Income Tech Trees / Tech Tracks Variable Player Powers"
"2-5","5782","Coloretto","0","2","2-5","1.2703","6.98123","","","Animals Card Game","Open Drafting Push Your Luck Set Collection Turn Order: Pass Order"
"2-5","264055","Draftosaurus","0","3","2-5","1.2423","7.08184","","","Animals Prehistoric Science Fiction","Closed Drafting Dice Rolling Die Icon Resolution Set Collection Simultaneous Action Selection"
"2-5","329450","Equinox","0","0","2-5","2.0357","6.66229","","","Fantasy","Betting and Bluffing Card Play Conflict Resolution Hand Management"
"2-5","221230","Farlight","0","1","2-5","2.4762","6.80167","","","Bluffing Dice Science Fiction Space Exploration","Auction / Bidding Dice Rolling Open Drafting Tile Placement Worker Placement"
"2-5","280032","Fossilis","0","0","2-5","2.2982","6.95677","","","Action / Dexterity Animals Children's Game Exploration Prehistoric","Action Points Contracts End Game Bonuses Events Grid Movement Map Deformation Modular Board Open Drafting Set Collection Slide / Push Square Grid Static Capture Tags Take That Three Dimensional Movement Tile Placement Variable Set-up"
"2-5","207336","Honshū","0","1","2-5","1.9333","6.8823","","","Card Game City Building Territory Building","Auction / Bidding Closed Drafting End Game Bonuses Hand Management Layering Melding and Splaying Pattern Building Selection Order Bid Variable Set-up"
"2-5","216070","Hunt for the Ring","0","0","2-5","3.1765","7.07587","","","Deduction Dice Fantasy Fighting Novel-based","Dice Rolling Hidden Movement Point to Point Movement Secret Unit Deployment Team-Based Game Variable Player Powers"
"2-5","200171","Legendary: Big Trouble in Little China","0","0","2-5","1.9","7.05871","","","Card Game Movies / TV / Radio theme","Cooperative Game Deck, Bag, and Pool Building Open Drafting"
"2-5","148205","Penny Press","0","1","2-5","2.1944","6.43697","","","Industry / Manufacturing","Area Majority / Influence Auction / Bidding Worker Placement"
"2-5","162263","Temporum","0","1","2-5","2.1538","6.34689","","","Age of Reason Ancient Card Game Medieval Science Fiction","Area Majority / Influence Hand Management Modular Board Point to Point Movement"
