"group_key","bgg_id","name","year_published","rating","num_plays","players","complexity","bgg_rating","num_ratings","categories","mechanics"
"2","290359","Undaunted: North Africa","2020","7","2","2","2.3333","7.7525","4600","System.Object[]","System.Object[]"
"2","173346","7 Wonders Duel","2015","8.1","1","2","2.2273","8.07729","108693","System.Object[]","System.Object[]"
"2","158600","Hanamikoji","2013","7","1","2","1.6762","7.45138","21341","System.Object[]","System.Object[]"
"2","4396","Odin's Ravens","2002","7.1","1","2","1.6802","6.64425","3952","System.Object[]","System.Object[]"
"2","147020","Star Realms","2014","7.9","1","2","1.9145","7.55116","47977","System.Object[]","System.Object[]"
"2","182631","Star Realms: Colony Wars","2015","7","1","2","1.8797","7.77826","8817","System.Object[]","System.Object[]"
"2","171226","Starfighter","2015","5","1","2","2.7742","6.6619","737","System.Object[]","System.Object[]"
"2","226631","War of the Worlds: The New Wave","2019","8.6","1","2","2.2083","7.02501","941","System.Object[]","System.Object[]"
"2-10","432","Take 5","1994","7","22","2-10","1.1887","6.98464","32590","System.Object[]","System.Object[]"
"2-4","230802","Azul","2017","7","19","2-4","1.7744","7.71554","108117","System.Object[]","System.Object[]"
"2-4","205597","Jump Drive","2017","7.8","19","2-4","2.0154","6.99847","5453","System.Object[]","System.Object[]"
"2-4","10630","Memoir '44","2004","8","18","2-4","2.2729","7.5316","31903","System.Object[]","System.Object[]"
"2-4","345868","Federation","2022","9.5","15","2-4","3.7453","7.82796","3310","System.Object[]","System.Object[]"
"2-4","270314","Ohanami","2019","7","13","2-4","1.1597","7.2595","4700","System.Object[]","System.Object[]"
"2-4","68425","Eminent Domain","2011","8.5","10","2-4","2.5099","6.96269","10740","System.Object[]","System.Object[]"
"2-4","247143","Senshi","2018","8","9","2-4","1.8333","6.14885","470","Abstract Strategy","Set Collection"
"2-4","178044","Small Star Empires","2016","7","8","2-4","2.0312","7.08055","733","System.Object[]","System.Object[]"
"2-4","172287","Champions of Midgard","2015","8.3","7","2-4","2.6208","7.70344","18761","System.Object[]","System.Object[]"
"2-4","140934","Arboretum","2015","7.5","6","2-4","2.1118","7.2428","23825","System.Object[]","System.Object[]"
"2-4","317985","Beyond the Sun","2020","9","6","2-4","3.1538","7.86216","17517","System.Object[]","System.Object[]"
"2-4","356414","Space Station Phoenix","2022","9.5","6","2-4","3.0476","7.36939","1831","System.Object[]","System.Object[]"
"2-4","220792","The Expanse Board Game","2017","8.2","6","2-4","2.8182","7.16326","1854","System.Object[]","System.Object[]"
"2-4","237179","Weather Machine","2022","9","6","2-4","4.5608","7.68577","4137","System.Object[]","System.Object[]"
"2-4","260300","Dungeon Mayhem","2018","7.5","5","2-4","1.1518","6.86018","4689","System.Object[]","System.Object[]"
"2-4","155821","Inis","2016","8.2","5","2-4","2.9414","7.81397","23064","System.Object[]","System.Object[]"
"2-4","811","Rummikub","1977","6","5","2-4","1.707","6.52182","21926","System.Object[]","System.Object[]"
"2-4","242574","Century: Eastern Wonders","2018","8","4","2-4","2.1081","7.09677","8043","Nautical","System.Object[]"
"2-4","265188","Glen More II: Chronicles","2019","8.2","4","2-4","3.006","7.8568","9488","System.Object[]","System.Object[]"
"2-4","270673","Silver & Gold","2019","7.8","4","2-4","1.2169","7.16198","8984","System.Object[]","System.Object[]"
"2-4","126163","Tzolk'in: The Mayan Calendar","2012","8.2","4","2-4","3.6646","7.84642","42421","System.Object[]","System.Object[]"
"2-4","303554","Winter Kingdom","2020","6","4","2-4","2.6154","7.2734","1016","System.Object[]","System.Object[]"
"2-4","48726","Alien Frontiers","2010","7.9","3","2-4","2.5647","7.3398","15579","System.Object[]","System.Object[]"
"2-4","358661","Andromeda's Edge","2024","0","3","2-4","3.745","8.25263","6044","System.Object[]","System.Object[]"
"2-4","194594","Dice Forge","2017","8.1","3","2-4","1.9724","7.21274","24479","System.Object[]","System.Object[]"
"2-4","321608","Hegemony: Lead Your Class to Victory","2023","8","3","2-4","4.255","8.37442","12014","System.Object[]","System.Object[]"
"2-4","155065","Lifeform","2019","9","3","2-4","3.0667","7.18179","291","System.Object[]","System.Object[]"
"2-4","129622","Love Letter","2012","7","3","2-4","1.1849","7.22635","71772","System.Object[]","System.Object[]"
"2-4","228341","Pulsar 2849","2017","8.9","3","2-4","3.3385","7.63474","9768","System.Object[]","System.Object[]"
"2-4","242684","Reavers of Midgard","2019","8","3","2-4","2.934","7.32304","3295","","System.Object[]"
"2-4","417197","Rebirth","2024","0","3","2-4","1.9781","7.75732","5526","System.Object[]","System.Object[]"
"2-4","298231","Skyrise","2024","0","3","2-4","2.2447","7.67036","3757","Territory Building","System.Object[]"
"2-4","284616","Small Samurai Empires","2020","8","3","2-4","2.7451","7.54942","950","System.Object[]","System.Object[]"
"2-4","317457","Dinosaur World","2021","8","2","2-4","3.2687","7.31604","4512","System.Object[]","System.Object[]"
"2-4","315727","Last Light","2023","8","2","2-4","2.7778","7.33335","2297","System.Object[]","System.Object[]"
"2-4","30549","Pandemic","2008","7.5","2","2-4","2.3941","7.51354","134947","System.Object[]","System.Object[]"
"2-4","232043","Queendomino","2017","7","2","2-4","2.0698","7.13678","11812","System.Object[]","System.Object[]"
"2-4","319966","The King Is Dead: Second Edition","2020","9","2","2-4","2.17","7.58797","8603","System.Object[]","System.Object[]"
"2-4","299450","Tsukuyumi: Full Moon Down (Second Edition)","2020","9","2","2-4","3.6552","7.49339","532","System.Object[]","System.Object[]"
"2-4","290484","Unsettled","2021","10","2","2-4","3.2846","8.05993","3838","System.Object[]","System.Object[]"
"2-4","290484","Unsettled","2021","9","2","2-4","3.2846","8.05993","3838","System.Object[]","System.Object[]"
"2-4","110277","Among the Stars","2012","7.5","1","2-4","2.2377","7.00909","7379","System.Object[]","System.Object[]"
"2-4","139976","Cthulhu Wars","2015","7.5","1","2-4","3.1466","7.83923","6858","System.Object[]","System.Object[]"
"2-4","344839","Dog Lover","2021","7","1","2-4","1.8387","6.69968","1478","System.Object[]","System.Object[]"
"2-4","262941","Dominant Species: Marine","2021","9","1","2-4","3.6923","7.85292","2919","System.Object[]","System.Object[]"
"2-4","65244","Forbidden Island","2010","7","1","2-4","1.739","6.75039","54400","System.Object[]","System.Object[]"
"2-4","31481","Galaxy Trucker","2007","7","1","2-4","2.3283","7.32197","35746","System.Object[]","System.Object[]"
"2-4","8203","Hey, That's My Fish!","2003","7","1","2-4","1.4446","6.69939","22769","System.Object[]","System.Object[]"
"2-4","272738","Jaws","2019","7","1","2-4","2.1778","7.06139","6978","System.Object[]","System.Object[]"
"2-4","379629","Knarr","2023","7","1","2-4","1.9087","7.47168","8041","Card Game","System.Object[]"
"2-4","264141","Kodachi","2019","7","1","2-4","1.8261","7.28895","513","Card Game","System.Object[]"
"2-4","193322","Master of Orion: The Board Game","2016","6","1","2-4","2.4384","6.90738","2005","System.Object[]","System.Object[]"
"2-4","147299","Pocket Imperium","2013","6.2","1","2-4","1.9459","6.18682","780","System.Object[]","System.Object[]"
"2-4","192153","Reign of Cthulhu","2016","7","1","2-4","2.1652","7.35714","11046","System.Object[]","System.Object[]"
"2-4","309297","SCOPE Stalingrad","2020","6","1","2-4","1.5333","6.82875","296","System.Object[]","System.Object[]"
"2-4","253284","Ticket to Ride: New York","2018","7","1","2-4","1.2632","6.88015","7725","Trains","System.Object[]"
"2-4","260923","Titan","2022","9","1","2-4","3.5","6.97113","203","System.Object[]","System.Object[]"
"2-4","115746","War of the Ring: Second Edition","2011","9","1","2-4","4.2239","8.55205","25070","System.Object[]","System.Object[]"
"2-4","362944","War of the Ring: The Card Game","2022","7","1","2-4","2.9809","7.60321","4833","System.Object[]","System.Object[]"
"2-5","232832","Century: Golem Edition","2017","9","22","2-5","1.7168","7.57649","14134","System.Object[]","System.Object[]"
"2-5","209685","Century: Spice Road","2017","7.2","15","2-5","1.7986","7.29009","27690","System.Object[]","System.Object[]"
"2-5","822","Carcassonne","2000","7.8","10","2-5","1.885","7.41633","139563","System.Object[]","System.Object[]"
"2-5","291453","SCOUT","2019","8","8","2-5","1.3856","7.78921","27940","Card Game","System.Object[]"
"2-5","242302","Space Base","2018","9.1","8","2-5","2.1315","7.53966","23429","System.Object[]","System.Object[]"
"2-5","133473","Sushi Go!","2013","7","8","2-5","1.1644","6.9823","52344","System.Object[]","System.Object[]"
"2-5","329151","Draconic Dice","2021","7","5","2-5","1.1429","6.33396","75","Dice","Dice Rolling"
"2-5","218509","Empires of the Void II","2018","9.1","3","2-5","3.472","7.44154","2811","System.Object[]","System.Object[]"
"2-5","324856","The Crew: Mission Deep Sea","2021","0","3","2-5","2.0502","8.05009","25445","System.Object[]","System.Object[]"
"2-5","284083","The Crew: The Quest for Planet Nine","2019","7","3","2-5","1.9659","7.75607","48552","System.Object[]","System.Object[]"
"2-5","300442","Trekking the World","2020","7","3","2-5","1.8936","7.03753","3567","System.Object[]","System.Object[]"
"2-5","286160","Godspeed","2020","9","2","2-5","2.75","6.99837","1032","Science Fiction","System.Object[]"
"2-5","380707","Vindication: Archive of the Ancients","2023","10","2","2-5","3","8.56606","274","Fantasy","System.Object[]"
"2-5","172225","Exploding Kittens","2015","6","1","2-5","1.0807","6.06944","41488","System.Object[]","System.Object[]"
