"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"2-4","20","106","6","5.000-5.999","270314","Ohanami","6.818","5.818","13","2-4","1.1639","7.25479","","","System.Object[]","System.Object[]"
"2-4","21","106","6","5.000-5.999","178044","Star Empires","6.809","5.809","8","2-4","2.0606","7.07221","","","System.Object[]","System.Object[]"
"2-5","22","106","6","5.000-5.999","133473","Sushi Go!","6.799","5.799","8","2-5","1.1626","6.97792","","","System.Object[]","System.Object[]"
"2","23","106","6","5.000-5.999","50","Lost Cities","6.79","5.79","7","2","1.4752","7.26022","","","System.Object[]","System.Object[]"
"2-7","24","106","6","5.000-5.999","181304","Mysterium","6.78","5.78","6","2-7","1.8896","7.18756","","","System.Object[]","System.Object[]"
"2-6","25","106","6","5.000-5.999","353470","Star Wars: Jabba's Palace – A Love Letter Game","6.771","5.771","6","2-6","1.2609","7.1919","","","System.Object[]","System.Object[]"
"2-6","26","106","6","5.000-5.999","131357","Coup","6.761","5.761","5","2-6","1.414","6.97426","","","System.Object[]","System.Object[]"
"2-5","27","106","6","5.000-5.999","329151","Draconic Dice","6.752","5.752","5","2-5","1.1429","6.26641","","","Dice","Dice Rolling"
"2","28","106","6","5.000-5.999","264241","Mandala","6.742","5.742","6","2","1.7843","7.43044","","","System.Object[]","System.Object[]"
"2-6","29","106","6","5.000-5.999","274960","Point Salad","6.733","5.733","5","2-6","1.1528","7.08262","","","Card Game","System.Object[]"
"2-4","30","106","6","5.000-5.999","129622","Love Letter","6.723","5.723","3","2-4","1.1843","7.22616","","","System.Object[]","System.Object[]"
"2-6","31","106","6","5.000-5.999","313841","Lunar Base","6.714","5.714","3","2-6","2.0476","7.11885","","","System.Object[]","System.Object[]"
"2-5","32","106","6","5.000-5.999","284083","The Crew: The Quest for Planet Nine","6.704","5.704","3","2-5","1.9685","7.74916","","","System.Object[]","System.Object[]"
"2-5","33","106","6","5.000-5.999","300442","Trekking the World","6.695","5.695","3","2-5","1.8958","7.02522","","","System.Object[]","System.Object[]"
"2","34","106","6","5.000-5.999","247367","Air, Land, & Sea","6.685","5.685","2","2","1.7363","7.43615","","","System.Object[]","System.Object[]"
"1-5","35","106","6","5.000-5.999","284653","Mind MGMT: The Psychic Espionage “Game.”","6.676","5.676","2","1-5","2.8931","7.77155","","","System.Object[]","System.Object[]"
"2-6","36","106","6","5.000-5.999","159473","Quartermaster General","6.666","5.666","2","2-6","2.2893","7.24368","","","System.Object[]","System.Object[]"
"2-4","37","106","6","5.000-5.999","232043","Queendomino","6.656","5.656","2","2-4","2.0645","7.13194","","","System.Object[]","System.Object[]"
"1-4","38","106","6","5.000-5.999","274037","Solar Storm","6.647","5.647","2","1-4","2.0667","6.94256","","","System.Object[]","System.Object[]"
"1-5","39","106","6","5.000-5.999","279720","Streets","6.637","5.637","2","1-5","1.9825","6.56076","","","City Building","System.Object[]"
"1-6","40","106","6","5.000-5.999","256852","Aliens: Another Glorious Day in the Corps","6.628","5.628","2","1-6","2.8378","7.42213","","","System.Object[]","System.Object[]"
"1-2","41","106","6","5.000-5.999","347521","Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","6.618","5.618","1","1-2","1.72","7.50543","","","System.Object[]","System.Object[]"
"1-4","42","106","6","5.000-5.999","170223","Centauri Saga","6.609","5.609","1","1-4","2.9412","6.51014","","","System.Object[]","System.Object[]"
"2-4","43","106","6","5.000-5.999","344839","Dog Lover","6.599","5.599","1","2-4","1.8438","6.69527","","","System.Object[]","System.Object[]"
"4-8","44","106","6","5.000-5.999","253786","Don't Mess with Cthulhu Deluxe","6.59","5.59","1","4-8","1.3158","7.34112","","","System.Object[]","System.Object[]"
"2-4","45","106","6","5.000-5.999","31481","Galaxy Trucker","6.58","5.58","1","2-4","2.3277","7.31875","","","System.Object[]","System.Object[]"
"1-4","46","106","6","5.000-5.999","278120","God of War: The Card Game","6.571","5.571","1","1-4","2.5172","6.53808","","","System.Object[]","System.Object[]"
"2","47","106","6","5.000-5.999","158600","Hanamikoji","6.561","5.561","1","2","1.6753","7.44718","","","System.Object[]","System.Object[]"
"1-4","48","106","6","5.000-5.999","195314","Herbaceous","6.552","5.552","1","1-4","1.2222","6.98336","","","System.Object[]","System.Object[]"
"2-4","49","106","6","5.000-5.999","8203","Hey, That's My Fish!","6.542","5.542","1","2-4","1.4447","6.69835","","","System.Object[]","System.Object[]"
