"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"1-50","29","71","5","4.000-4.999","281075","Welcome to New Las Vegas","5.599","4.599","5","1-50","2.8214","6.68696","","","City Building","System.Object[]"
"2-6","30","71","5","4.000-4.999","158899","Colt Express","5.585","4.585","4","2-6","1.8341","7.09763","","","System.Object[]","System.Object[]"
"3-6","31","71","5","4.000-4.999","207062","Dungeons & Dragons: Rock Paper Wizard","5.571","4.571","3","3-6","1.3226","6.519","","","Fantasy","System.Object[]"
"2-4","32","71","5","4.000-4.999","359502","Casting Shadows","5.557","4.557","2","2-4","2.2581","6.27526","","","System.Object[]","System.Object[]"
"2-5","33","71","5","4.000-4.999","124361","Concordia","5.542","4.542","2","2-5","2.9844","8.07463","","","System.Object[]","System.Object[]"
"1-4","34","71","5","4.000-4.999","256570","Crown of Emara","5.528","4.528","2","1-4","3.0426","7.34352","","","System.Object[]","System.Object[]"
"1-5","35","71","5","4.000-4.999","173090","The Game","5.514","4.514","2","1-5","1.2396","6.71126","","","System.Object[]","System.Object[]"
"3-6","36","71","5","4.000-4.999","103343","A Game of Thrones: The Board Game (Second Edition)","5.5","4.5","1","3-6","3.7347","7.52566","","","System.Object[]","System.Object[]"
"2-5","37","71","5","4.000-4.999","181293","Alien Artifacts","5.485","4.485","1","2-5","2.8904","6.52209","","","System.Object[]","System.Object[]"
"2-4","38","71","5","4.000-4.999","5420","Assassin: The Final Game","5.471","4.471","1","2-4","1.5556","4.963","","","System.Object[]","System.Object[]"
"2","39","71","5","4.000-4.999","213266","Circle the Wagons","5.457","4.457","1","2","1.5686","7.01332","","","System.Object[]","System.Object[]"
"2-6","40","71","5","4.000-4.999","238972","Cogs and Commissars","5.442","4.442","1","2-6","2","6.16026","","","System.Object[]","System.Object[]"
"1-4","41","71","5","4.000-4.999","269511","Cooper Island","5.428","4.428","1","1-4","4.1682","7.54389","","","System.Object[]","System.Object[]"
"2-4","42","71","5","4.000-4.999","269595","Copenhagen","5.414","4.414","1","2-4","1.6774","6.91621","","","System.Object[]","System.Object[]"
"2-5","43","71","5","4.000-4.999","280480","Crystal Palace","5.4","4.4","1","2-5","3.7711","7.48944","","","System.Object[]","System.Object[]"
"2-6","44","71","5","4.000-4.999","244271","Dice Throne: Season Two – Battle Chest","5.385","4.385","1","2-6","2.1685","8.02788","","","System.Object[]","System.Object[]"
"2-10","45","71","5","4.000-4.999","169124","Flick 'em Up!","5.371","4.371","1","2-10","1.3462","6.83638","","","System.Object[]","System.Object[]"
"1-4","46","71","5","4.000-4.999","249703","Gentes: Deluxified Edition","5.357","4.357","1","1-4","3.2241","7.6534","","","System.Object[]","System.Object[]"
"1-4","47","71","5","4.000-4.999","134157","Guilds of London","5.343","4.343","1","1-4","3.0704","6.72464","","","Medieval","System.Object[]"
"1","48","71","5","4.000-4.999","134253","Hostage Negotiator","5.328","4.328","1","1","2.0585","6.77626","","","System.Object[]","System.Object[]"
"2-6","49","71","5","4.000-4.999","70323","King of Tokyo","5.314","4.314","1","2-6","1.4843","7.1105","","","System.Object[]","System.Object[]"
"2-4","50","71","5","4.000-4.999","1219","Labyrinth","5.3","4.3","1","2-4","1.3463","6.40903","","","System.Object[]","System.Object[]"
"1-4","51","71","5","4.000-4.999","285774","Marvel Champions: The Card Game","5.285","4.285","1","1-4","2.964","8.10503","","","System.Object[]","System.Object[]"
"1-5","52","71","5","4.000-4.999","126042","Nations","5.271","4.271","1","1-5","3.5413","7.58729","","","System.Object[]","System.Object[]"
"2-5","53","71","5","4.000-4.999","255692","New Frontiers","5.257","4.257","1","2-5","2.9621","7.38106","","","System.Object[]","System.Object[]"
"2","54","71","5","4.000-4.999","162041","Ninja Taisen","5.243","4.243","1","2","1.4783","6.30138","","","System.Object[]","System.Object[]"
"3-5","55","71","5","4.000-4.999","270445","Omerta","5.228","4.228","1","3-5","1.3333","7.05041","","","System.Object[]","System.Object[]"
"3-10","56","71","5","4.000-4.999","147949","One Night Ultimate Werewolf","5.214","4.214","1","3-10","1.381","7.0301","","","System.Object[]","System.Object[]"
"2-4","57","71","5","4.000-4.999","170199","Solarius Mission","5.2","4.2","1","2-4","3.9268","7.15655","","","System.Object[]","System.Object[]"
"2-8","58","71","5","4.000-4.999","419143","Spectrum","5.186","4.186","1","2-8","1","7.42273","Not bad!","","System.Object[]","System.Object[]"
"1-4","59","71","5","4.000-4.999","244522","That's Pretty Clever!","5.171","4.171","1","1-4","1.852","7.54668","","","System.Object[]","System.Object[]"
"2-5","60","71","5","4.000-4.999","204574","The Flow of History","5.157","4.157","1","2-5","2.5769","6.71573","","","System.Object[]","System.Object[]"
"1-4","61","71","5","4.000-4.999","257283","Tiny Epic Mechs","5.143","4.143","1","1-4","2.5636","6.67036","","","System.Object[]","System.Object[]"
"2-4","62","71","5","4.000-4.999","244654","Wildlands","5.128","4.128","1","2-4","2.2466","7.251","","","System.Object[]","System.Object[]"
"2-4","63","71","5","4.000-4.999","115105","Kittens in a Blender","5.114","4.114","1","2-4","1.1154","5.63132","","","System.Object[]","System.Object[]"
"1-4","64","71","5","4.000-4.999","356123","Turing Machine","5.1","4.1","8","1-4","2.5333","7.59508","","","System.Object[]","System.Object[]"
"2-6","65","71","5","4.000-4.999","378848","Camel Up: The Card Game","5.086","4.086","0","2-6","2.0588","6.76893","","","System.Object[]","System.Object[]"
"1-2","66","71","5","4.000-4.999","303734","Golems","5.071","4.071","2","1-2","1.75","6.05603","","","Card Game","System.Object[]"
"3-10","67","71","5","4.000-4.999","302520","Hues and Cues","5.057","4.057","2","3-10","1.0551","6.42201","","","System.Object[]","System.Object[]"
"2-4","68","71","5","4.000-4.999","204583","Kingdomino","5.043","4.043","2","2-4","1.2418","7.28632","","","System.Object[]","System.Object[]"
"1-5","69","71","5","4.000-4.999","73761","K2","5.029","4.029","1","1-5","2.2471","6.99522","","","System.Object[]","System.Object[]"
"2-4","70","71","5","4.000-4.999","180974","Potion Explosion","5.014","4.014","1","2-4","1.7768","7.12165","","","System.Object[]","System.Object[]"
"2-4","71","71","5","4.000-4.999","402676","Cities","5","4","1","2-4","1.8966","7.26976","","","System.Object[]","System.Object[]"
"1-4","1","106","6","5.000-5.999","230253","Star Realms: Frontiers","6.999","5.999","4","1-4","1.875","7.90261","","","System.Object[]","System.Object[]"
"2-6","2","106","6","5.000-5.999","223040","Fantasy Realms","6.989","5.989","15","2-6","1.8213","7.49727","","","System.Object[]","System.Object[]"
"2-4","3","106","6","5.000-5.999","194594","Dice Forge","6.98","5.98","3","2-4","1.9727","7.20979","","","System.Object[]","System.Object[]"
"2-5","4","106","6","5.000-5.999","193037","Dead of Winter: The Long Night","6.97","5.97","2","2-5","3.3333","7.50186","","","System.Object[]","System.Object[]"
"2-4","5","106","6","5.000-5.999","54","Tikal","6.961","5.961","1","2-4","2.7779","7.31606","","","System.Object[]","System.Object[]"
"2-4","6","106","6","5.000-5.999","170216","Blood Rage","6.951","5.951","3","2-4","2.8827","7.89136","","","System.Object[]","System.Object[]"
"1-4","7","106","6","5.000-5.999","269210","Twice as Clever!","6.942","5.942","4","1-4","2.2775","7.40899","","","System.Object[]","System.Object[]"
"1-5","8","106","6","5.000-5.999","205059","Mansions of Madness: Second Edition","6.932","5.932","1","1-5","2.6904","7.91161","","","System.Object[]","System.Object[]"
"2-4","9","106","6","5.000-5.999","68425","Eminent Domain","6.923","5.923","10","2-4","2.5099","6.95801","","","System.Object[]","System.Object[]"
"1-5","10","106","6","5.000-5.999","146652","Legendary Encounters: An Alien Deck Building Game","6.913","5.913","2","1-5","2.7078","7.75144","","","System.Object[]","System.Object[]"
"2","11","106","6","5.000-5.999","177639","Raptor","6.904","5.904","2","2","2.0783","7.20851","","","System.Object[]","System.Object[]"
"2-4","12","106","6","5.000-5.999","34635","Stone Age","6.894","5.894","2","2-4","2.455","7.50877","","","System.Object[]","System.Object[]"
"1-5","13","106","6","5.000-5.999","283095","Cosmic Colonies","6.885","5.885","1","1-5","2.0625","6.90815","","","System.Object[]","System.Object[]"
"2-4","14","106","6","5.000-5.999","224517","Brass: Birmingham","6.875","5.875","1","2-4","3.8608","8.55981","","","System.Object[]","System.Object[]"
"2-4","15","106","6","5.000-5.999","260300","Dungeon Mayhem","6.866","5.866","5","2-4","1.1441","6.85065","","","System.Object[]","System.Object[]"
"2-4","16","106","6","5.000-5.999","30549","Pandemic","6.856","5.856","2","2-4","2.3934","7.5104","","","System.Object[]","System.Object[]"
"2-99","17","106","6","5.000-5.999","62871","Zombie Dice","6.847","5.847","1","2-99","1.092","6.22943","","","System.Object[]","System.Object[]"
"2-10","18","106","6","5.000-5.999","432","Take 5","6.837","5.837","22","2-10","1.1886","6.98782","","","System.Object[]","System.Object[]"
"2-4","19","106","6","5.000-5.999","230802","Azul","6.828","5.828","19","2-4","1.7729","7.71126","","","System.Object[]","System.Object[]"
